MEAN LEVELS FOR SEARCH;AVLTree;BSTree;BTree100;BTree600;LinearHashing40;LinearHashing1000
  20                  ;4.80   ;10.90 ;1.00    ;1.00    ;1.00           ;1.00             
  50                  ;6.60   ;13.90 ;1.00    ;1.00    ;1.00           ;1.00             
  100                 ;8.00   ;17.00 ;2.00    ;1.00    ;1.00           ;1.00             
  200                 ;8.50   ;20.30 ;2.00    ;1.00    ;1.00           ;1.00             
  1000                ;10.58  ;34.98 ;2.00    ;2.00    ;1.00           ;1.00             
  2500                ;11.81  ;86.04 ;2.00    ;2.00    ;1.00           ;1.00             
  5000                ;12.87  ;86.06 ;2.00    ;2.00    ;1.00           ;1.00             
  10000               ;14.25  ;86.94 ;2.98    ;2.00    ;1.00           ;1.00             
  20000               ;15.09  ;90.77 ;3.00    ;2.00    ;1.39           ;1.00             
  40000               ;15.69  ;91.06 ;2.99    ;2.00    ;1.66           ;1.00             
  60000               ;16.94  ;92.97 ;3.00    ;2.00    ;1.01           ;1.00             
  80000               ;17.48  ;93.02 ;3.00    ;2.00    ;1.38           ;1.00             
  100000              ;17.49  ;93.58 ;3.00    ;2.00    ;1.70           ;1.00             
  200000              ;18.23  ;94.16 ;3.00    ;2.00    ;1.70           ;1.00             
  1000000             ;20.77  ;97.40 ;4.00    ;3.00    ;1.83           ;1.29             
  1500000             ;21.33  ;98.86 ;4.00    ;3.00    ;1.68           ;1.67             
  2000000             ;21.71  ;99.41 ;4.00    ;3.00    ;1.72           ;1.36             
  2500000             ;22.02  ;98.56 ;4.00    ;3.00    ;1.29           ;1.62             
  3000000             ;22.90  ;99.64 ;3.99    ;3.00    ;1.67           ;1.65             
