MEAN TIME TO INSERT;AVLTree;BSTree ;BTree100;BTree600;LinearHashing40;LinearHashing1000
  20               ;3170.00;2730.00;530.00  ;520.00  ;580.00         ;600.00           
  50               ;2350.00;460.00 ;970.00  ;960.00  ;490.00         ;530.00           
  100              ;660.00 ;480.00 ;1260.00 ;540.00  ;460.00         ;460.00           
  200              ;580.00 ;570.00 ;590.00  ;610.00  ;180.00         ;270.00           
  1000             ;474.00 ;682.00 ;346.00  ;976.00  ;108.00         ;134.00           
  2500             ;685.00 ;1013.00;374.00  ;699.00  ;117.00         ;104.00           
  5000             ;461.00 ;1017.00;439.00  ;294.00  ;198.00         ;161.00           
  10000            ;508.00 ;808.00 ;1688.00 ;439.00  ;230.00         ;104.00           
  20000            ;407.00 ;797.00 ;383.00  ;258.00  ;831.00         ;803.00           
  40000            ;527.00 ;853.00 ;306.00  ;355.00  ;264.00         ;160.00           
  60000            ;524.00 ;882.00 ;283.00  ;834.00  ;482.00         ;176.00           
  80000            ;1232.00;1491.00;284.00  ;404.00  ;360.00         ;179.00           
  100000           ;963.00 ;937.00 ;177.00  ;367.00  ;112.00         ;134.00           
  200000           ;585.00 ;1219.00;237.00  ;430.00  ;346.00         ;514.00           
  1000000          ;1329.00;1516.00;292.00  ;496.00  ;49638.00       ;465.00           
  1500000          ;1941.00;1413.00;276.00  ;675.00  ;260.00         ;569.00           
  2000000          ;3063.00;1843.00;304.00  ;630.00  ;101888.00      ;512.00           
  2500000          ;1560.00;1753.00;364.00  ;477.00  ;441.00         ;526.00           
  3000000          ;1339.00;1663.00;605.00  ;906.00  ;282.00         ;558.00           
